INFO  - 2019-02-04 09:19:15.084; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 5, Ball:2
INFO  - 2019-02-04 09:19:15.085; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 6, Ball:1
INFO  - 2019-02-04 09:19:15.085; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 6, Ball:2
INFO  - 2019-02-04 09:19:15.086; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 7, Ball:1
INFO  - 2019-02-04 09:19:15.086; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 7, Ball:2
INFO  - 2019-02-04 09:19:15.087; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 8, Ball:1
INFO  - 2019-02-04 09:19:15.087; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 8, Ball:2
INFO  - 2019-02-04 09:19:15.087; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 9, Ball:1
INFO  - 2019-02-04 09:19:15.088; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 9, Ball:2
INFO  - 2019-02-04 09:19:15.088; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:1
INFO  - 2019-02-04 09:19:15.089; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:2
INFO  - 2019-02-04 09:19:15.089; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Last Frame:10
INFO  - 2019-02-04 09:19:15.089; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:3
INFO  - 2019-02-04 09:19:15.090; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Last Frame:10
INFO  - 2019-02-04 09:19:15.092; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:1
INFO  - 2019-02-04 09:19:15.092; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:2
INFO  - 2019-02-04 09:19:15.093; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:1
INFO  - 2019-02-04 09:19:15.093; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:2
INFO  - 2019-02-04 09:19:15.094; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:1
INFO  - 2019-02-04 09:19:15.094; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:1
INFO  - 2019-02-04 09:19:15.095; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:2
INFO  - 2019-02-04 09:19:15.095; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:4
INFO  - 2019-02-04 09:19:15.095; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 5, Ball:1
INFO  - 2019-02-04 09:19:15.096; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 5, Ball:2
INFO  - 2019-02-04 09:19:15.096; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 6, Ball:1
INFO  - 2019-02-04 09:19:15.097; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:6
INFO  - 2019-02-04 09:19:15.097; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 7, Ball:1
INFO  - 2019-02-04 09:19:15.097; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 8, Ball:1
INFO  - 2019-02-04 09:19:15.098; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:8
INFO  - 2019-02-04 09:19:15.098; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 8, Ball:2
INFO  - 2019-02-04 09:19:15.099; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:8
INFO  - 2019-02-04 09:19:15.099; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 9, Ball:1
INFO  - 2019-02-04 09:19:15.099; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 9, Ball:2
INFO  - 2019-02-04 09:19:15.100; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:1
INFO  - 2019-02-04 09:19:15.100; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:2
INFO  - 2019-02-04 09:19:15.101; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Last Frame:10
INFO  - 2019-02-04 09:19:15.101; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:3
INFO  - 2019-02-04 09:19:15.101; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Last Frame:10
INFO  - 2019-02-04 09:19:15.104; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:1
INFO  - 2019-02-04 09:19:15.104; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:2
INFO  - 2019-02-04 09:19:15.105; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:1
INFO  - 2019-02-04 09:19:15.116; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:2
INFO  - 2019-02-04 09:19:15.117; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:1
INFO  - 2019-02-04 09:19:15.117; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:2
INFO  - 2019-02-04 09:19:15.117; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:1
INFO  - 2019-02-04 09:19:15.118; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:2
INFO  - 2019-02-04 09:19:15.118; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 5, Ball:1
INFO  - 2019-02-04 09:19:15.118; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 5, Ball:2
INFO  - 2019-02-04 09:19:15.119; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 6, Ball:1
INFO  - 2019-02-04 09:19:15.119; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 6, Ball:2
INFO  - 2019-02-04 09:19:15.120; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 7, Ball:1
INFO  - 2019-02-04 09:19:15.120; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 7, Ball:2
INFO  - 2019-02-04 09:19:15.120; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 8, Ball:1
INFO  - 2019-02-04 09:19:15.121; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 8, Ball:2
INFO  - 2019-02-04 09:19:15.121; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 9, Ball:1
INFO  - 2019-02-04 09:19:15.122; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 9, Ball:2
INFO  - 2019-02-04 09:19:15.122; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:1
INFO  - 2019-02-04 09:19:15.122; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:2
INFO  - 2019-02-04 09:19:15.123; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Last Frame:10
INFO  - 2019-02-04 09:19:15.129; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:1
INFO  - 2019-02-04 09:19:15.129; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:2
INFO  - 2019-02-04 09:19:15.130; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:1
INFO  - 2019-02-04 09:19:15.130; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:1
INFO  - 2019-02-04 09:19:15.130; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:2
INFO  - 2019-02-04 09:19:15.131; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:3
INFO  - 2019-02-04 09:19:15.131; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:1
INFO  - 2019-02-04 09:19:15.132; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:2
INFO  - 2019-02-04 09:19:15.132; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 5, Ball:1
INFO  - 2019-02-04 09:19:15.132; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 5, Ball:2
INFO  - 2019-02-04 09:19:15.133; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 6, Ball:1
INFO  - 2019-02-04 09:19:15.133; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:6
INFO  - 2019-02-04 09:19:15.136; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:1
INFO  - 2019-02-04 09:19:15.136; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:2
INFO  - 2019-02-04 09:19:15.136; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:1
INFO  - 2019-02-04 09:19:15.137; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:2
INFO  - 2019-02-04 09:19:15.137; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:1
INFO  - 2019-02-04 09:19:15.138; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:2
INFO  - 2019-02-04 09:19:15.138; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:1
